,,targets,pct,pct_acum
Lamar Jackson,G.Edwards,36,0.013,0.8654
Lamar Jackson,J.Dobbins,34,0.0123,0.8777
Lamar Jackson,S.Roberts,32,0.0115,0.8892
Lamar Jackson,J.Brown,29,0.0105,0.8997
Lamar Jackson,J.Oliver,27,0.0097,0.9094
Lamar Jackson,M.Crabtree,25,0.009,0.9184
Lamar Jackson,D.Freeman,24,0.0087,0.9271
Lamar Jackson,J.Proche,23,0.0083,0.9354
Lamar Jackson,D.Henry,21,0.0076,0.943
Lamar Jackson,K.Drake,19,0.0069,0.9499
Lamar Jackson,T.Wallace,19,0.0069,0.9568
Lamar Jackson,T.Montgomery,16,0.0058,0.9626
Lamar Jackson,C.Moore,15,0.0054,0.968
Lamar Jackson,C.Kolar,15,0.0054,0.9734
Lamar Jackson,K.Mitchell,12,0.0043,0.9777
Lamar Jackson,T.Williams,12,0.0043,0.982
